REF_AREA,date,HPI,HPI_RPI,RPI,iso2,hh_share,year,d_ptr,d_hp,d_rent,d_hh
KOR,1988-10-01,43.8920256371682,103.245506025542,42.5133090569233,KR,33.79978471474704,1988,6.027402252429592,13.078767952750292,7.051365700320966,3.8817519278617993
KOR,1989-10-01,50.008506255928,111.063865796203,45.0278840926809,KR,34.89037178265014,1989,7.299569766771352,13.046046085208163,5.746476318436322,1.0905870679031011
KOR,1990-10-01,60.3804324845172,118.126244575937,51.1164006001128,KR,34.883720930232556,1990,6.1648518465731605,18.84719708874192,12.682345242169246,-0.006650852417585895
KOR,1991-10-01,61.4811619072077,109.568555190658,56.1133987530734,KR,35.00424808836024,1991,-7.520349369697055,1.806573047344795,9.326922417041894,0.12052715812768611
KOR,1992-10-01,57.6188303350341,96.1323833229201,59.938403527179,KR,35.337726523887966,1992,-13.082419367666898,-6.488138762254536,6.594280605412095,0.3334784355277236
KOR,1993-10-01,55.6218120396487,88.3869461663247,62.9314077851097,KR,34.50479233226837,1993,-8.400194353947299,-3.527400261812641,4.872794092134747,-0.8329341916195929
KOR,1994-10-01,55.4134440272686,85.0384367750738,65.1643875398526,KR,34.74903474903475,1994,-3.8620939304164104,-0.37531909117491935,3.486774839241402,0.24424241676637592
KOR,1995-10-01,55.2841938663243,81.6070687566266,67.7459980751496,KR,34.12759415833974,1995,-4.118746649610383,-0.23351938151270346,3.8852272680977684,-0.6214405906950091
KOR,1996-10-01,56.018614008743,79.9924957415368,70.0315204720305,KR,33.454018826937,1996,-1.9983058094316775,1.3196986047709913,3.318004414202669,-0.6735753314027377
KOR,1997-10-01,57.3611818369926,79.5906415405052,72.0719924260704,KR,31.797235023041477,1997,-0.5036309691302421,2.368377141374012,2.872008110504165,-1.6567838038955252
KOR,1998-10-01,50.0350660535688,70.5325594160807,70.940668550948,KR,29.805760214333553,1998,-12.08220784579579,-13.664371924301744,-1.5821640785059543,-1.991474808707924
KOR,1999-10-01,51.8973283102232,76.2723838732591,68.0437316849576,KR,31.914893617021274,1999,7.823649250703912,3.6543230512977587,-4.169326199406065,2.1091334026877213
KOR,2000-10-01,52.2878882292158,75.5273368318058,69.2320790540715,KR,36.17021276595745,2000,-0.9816263437778083,0.7497450434307495,1.7313713872086467,4.255319148936177
KOR,2001-10-01,56.7489899375242,77.8439047591099,72.9027593082921,KR,39.57863054928518,2001,3.0210932570855498,8.187309610928839,5.1662163538432,3.408417783327728
KOR,2002-10-01,66.4123870473509,86.528163111311,76.7541822342548,KR,43.852167732764755,2002,10.576434551421787,15.724573325628377,5.14813877420659,4.273537183479576
KOR,2003-10-01,70.8187825406125,89.7434476193217,78.9143801876063,KR,43.913043478260875,2003,3.6485071627821775,6.424066463643996,2.7755593008617296,0.06087574549611929
KOR,2004-10-01,68.6704222181487,86.4554981864708,79.4305450854783,KR,44.830246913580254,2004,-3.7325207957104034,-3.080568451491583,0.651952344218909,0.9172034353193794
KOR,2005-10-01,71.318989380081,90.1152142999161,79.1439102367827,KR,46.42857142857143,2005,4.145920079438792,3.7844051553742375,-0.3615149240645543,1.5983245149911767
KOR,2006-10-01,79.6213445146094,99.5158592522012,80.0106231170974,KR,45.774647887323944,2006,9.922801041928064,11.011958139682587,1.0891570977545229,-0.6539235412474866
KOR,2007-10-01,84.2711333568244,103.416802091777,81.4888471064746,KR,44.932432432432435,2007,3.8450423992523852,5.6757174733905735,1.8306750741387212,-0.8422154548915088
KOR,2008-10-01,89.1944689280569,106.754028838922,83.5533934098452,KR,42.69592476489028,2008,3.1759947351118534,5.677965132274654,2.501970397162534,-2.2365076675421562
KOR,2009-10-01,90.5058030714516,107.064954989458,84.535578781374,KR,42.66585514303103,2009,0.29083139778105505,1.4594940856190064,1.1686626878380402,-0.030069621859247775
KOR,2010-10-01,91.799393163232,106.186647722139,86.4530546345145,KR,43.98496240601503,2010,-0.8237333014228021,1.419171619567372,2.242904920990174,1.319107262983998
KOR,2011-10-01,97.4002249532487,107.310347178951,90.7671716641341,KR,44.859241126071,2011,1.0526703983647856,5.922283304514497,4.869612906149445,0.874278720055969
KOR,2012-10-01,95.9594095446285,102.296112786903,93.8077844490106,KR,44.767090139140954,2012,-4.785340316098541,-1.4903235415463456,3.295016774551751,-0.09215098693004364
KOR,2013-10-01,96.2077140754351,100.043487228258,96.1682065968736,KR,44.50386215092097,2013,-2.226671032151639,0.258425753915148,2.4850967860670536,-0.26322798821998106
KOR,2014-10-01,97.8168153027634,99.4901052718456,98.3204984423882,KR,44.57409568261377,2014,-0.5546769025574605,1.6586955521496805,2.2133724547072298,0.0702335316928
KOR,2015-10-01,101.223936298704,100.438218587525,100.784712981975,KR,45.96633778293674,2015,0.9484603330576213,3.4238755703944967,2.4754152373368754,1.3922421003229672
KOR,2016-10-01,101.931306676858,99.4240534121584,102.524242592135,KR,48.05797101449276,2016,-1.0148727619685438,0.6963868876621149,1.7112596496307475,2.091633231556017
KOR,2017-10-01,103.440132367443,99.5662131541496,103.893295135012,KR,49.130938586326764,2017,0.14288112542297782,1.4693891663922543,1.326508040969454,1.0729675718340062
KOR,2018-10-01,104.589115027708,100.345727641839,104.231273651223,KR,48.9841986455982,2018,0.7798618084740916,1.1046469266186243,0.32478511814373334,-0.14673994072856544
KOR,2019-10-01,104.23063969412,100.239316922711,103.984294009671,KR,48.40626688276607,2019,-0.1061003619103218,-0.3433350318839068,-0.23723466997269682,-0.5779317628321294
KOR,2020-10-01,109.816946387041,105.029332573009,104.560872998987,KR,48.38066766317887,2020,4.6679172836261,5.220872278177957,0.5529549945512358,-0.025599219587199684
KOR,2021-10-01,120.713128219858,113.316208726062,106.53024156269,KR,48.005836575875485,2021,7.594254906692832,9.460203369842102,1.8659484631491807,-0.37483108730338444
KOR,2022-10-01,115.034440924301,106.350780213384,108.167713306451,KR,46.55502392344498,2022,-6.343934015010522,-4.818531972020246,1.5254020429904536,-1.450812652430507
